Date,Avg Temp (F),Low Temp (F),High Temp (F),Wind (mph)
3/28/2019,51.08,39.02,73.94,8.95
3/29/2019,38.3,37.94,62.96,9.88
3/30/2019,32,28.04,42.98,7.08
3/31/2019,34.16,28.04,39.02,5.59
4/1/2019,40.82,28.94,48.92,8.57
4/2/2019,42.26,30.02,57.02,6.71
4/3/2019,44.42,33.98,53.06,6.21
4/4/2019,49.28,35.06,62.06,7.21
4/5/2019,53.6,35.96,66.92,7.83
4/6/2019,53.42,42.08,71.06,8.76
4/7/2019,53.42,44.06,68,8.95
4/8/2019,57.56,42.08,71.06,9.82
4/9/2019,61.16,44.06,75.02,10.5
4/10/2019,38.84,41,78.08,12.99
4/11/2019,28.58,17.06,42.08,13.11
4/12/2019,29.84,17.96,41,7.58
4/13/2019,34.52,24.98,42.98,5.97
4/14/2019,46.94,28.94,46.94,11.56
4/15/2019,56.66,33.98,66.02,10.07
4/16/2019,52.7,39.02,73.04,8.39
4/17/2019,48.92,39.02,64.04,9.26
4/18/2019,47.66,39.02,62.06,10.69
4/19/2019,53.6,35.96,62.96,7.71
4/20/2019,60.8,37.04,71.96,9.63
4/21/2019,54.5,48.92,80.96,9.94
4/22/2019,44.06,41,69.08,7.21
4/23/2019,49.28,41,44.96,5.59
4/24/2019,56.3,42.98,66.02,7.52
4/25/2019,55.04,44.06,73.04,7.39
4/26/2019,60.62,42.98,64.04,10.07
4/27/2019,58.46,42.98,78.98,11.06
4/28/2019,61.7,42.98,69.98,11.74
4/29/2019,44.78,32,77,9.07
4/30/2019,43.34,30.02,42.08,9.13
5/1/2019,44.78,30.92,39.02,10
5/2/2019,46.4,35.06,44.96,7.83
5/3/2019,52.52,37.04,62.06,7.27
5/4/2019,56.48,35.96,68,7.46
5/5/2019,60.44,39.02,73.04,8.51
5/6/2019,56.84,46.04,73.94,7.52
5/7/2019,52.7,44.96,69.98,8.02
5/8/2019,44.96,44.06,55.94,9.44
5/9/2019,39.38,32,44.06,7.71
5/10/2019,44.24,32,41,6.15
5/11/2019,51.26,33.08,55.94,7.77
5/12/2019,57.2,37.04,64.04,7.21
5/13/2019,63.5,41,73.04,8.2
5/14/2019,66.38,44.96,78.98,7.95
5/15/2019,69.08,50,80.06,8.39
